Video_ID,Video_Name,Date,View_Count,Like_Count,Comment_Count,Tags
DBRW8nwZV-g,"Graph Data Structure Intro (inc. adjacency list, adjacency matrix, incidence matrix)",2017-05-21T01:51:53Z,101960,1592,63,"['graph', 'adjacency list', 'adjacency matrix', 'incidence matrix', 'tutorial', 'javascirpt', 'learn to code', 'learn javascript']"
C9vsQkMu5gk,Browser history tutorial - Beau teaches JavaScript,2017-05-18T17:04:02Z,37883,600,24,"['replacestate', 'back', 'forward', 'go', 'pushstate', 'tutorial']"
AwicscsvGLg,cookies vs localStorage vs sessionStorage - Beau teaches JavaScript,2017-05-16T20:32:18Z,169626,3913,98,"['cookies', 'storage', 'tutorial', 'javascript', 'cookies vs localStorage', 'localStorage vs sessionStorage', 'localStorage', 'sessionStorage']"
dM_JHpfFITs,Heap Data Structure (max and min)- Beau teaches JavaScript,2017-05-13T18:25:16Z,51051,700,45,"['minheap', 'maxheap', 'heap sort', 'algorithm', 'tutorial']"
y6P8uvqRYgw,Pop up boxes tutorial - Beau teaches JavaScript,2017-05-11T16:38:08Z,13082,211,5,"['alert', 'prompt', 'confirm', 'popup', 'javascript', 'tutorial']"
ZJng8ls8uH0,"Window Object: move, open, close, & size - Beau teaches JavaScript",2017-05-09T17:07:02Z,36218,602,17,"['window', 'move', 'close', 'open', 'size', 'tutorial', 'code', 'beginner', 'javascript']"
7XmS8McW_1U,Trie Data Structure - Beau teaches JavaScript,2017-05-06T17:26:07Z,35133,470,38,"['trie', 'data structure', 'map', 'array', 'tutorial', 'code', 'javascript']"
tS6oP1NveoI,requestAnimationFrame() - Beau teaches JavaScript,2017-05-05T17:30:40Z,46299,654,29,"['animation', 'requestanimationframe', 'javascript', 'tutorial', 'setinterval', 'element', 'animate']"
YXZX_6RfHjk,Animation in the DOM - Beau teaches JavaScript,2017-05-03T16:17:25Z,44520,785,36,"['animation', 'element.animate', 'dom', 'css', 'web animations api', 'tutorial', 'javascript']"
KOVc5o5kURE,Mediator Design Pattern - Beau teaches JavaScript,2017-04-30T18:24:30Z,24745,483,29,"['mediator', 'design pattern']"
BWVoPxob5DU,DOM Nodes - Beau teaches JavaScript,2017-04-28T01:25:44Z,32167,689,12,"['nodes', 'root', 'children', 'appendchild', 'insertbefore', 'replacechild', 'removechild', 'tutorial']"
F3odgpghXzY,addEventListener() - Beau teaches JavaScript,2017-04-24T17:38:46Z,137092,1978,79,['iMovie']
9YddVVsdG5A,Linked List - Beau teaches JavaScript,2017-04-22T17:27:52Z,95378,1289,88,"['data structure', 'tutorial', 'javascript']"
0fy9TCcX8Uc,DOM Events - Beau teaches JavaScript,2017-04-20T17:09:50Z,37412,754,25,"['onclick', 'oninput', 'onmouseover', 'onmouseout', 'onload', 'tutorial', 'event']"
z_mSgK-6pOQ,CSS styles in JavaScript (setting and getting) - Beau teaches JavaScript,2017-04-18T15:56:51Z,37741,658,18,"['css', 'style', 'csstext', 'setattribute', 'getcomputedstyle', 'tutorial', 'set', 'get']"
eaLKqoB9Fu0,Selecting & Changing Website Elements (DOM manipulation) - Beau teaches JavaScript,2017-04-17T17:59:04Z,127991,1858,46,"['DOM', 'getelementbyid', 'queryselector', 'innerhtml', 'textcontent', 'tutorial']"
F95z5Wxd9ks,Hash Tables - Beau teaches JavaScript,2017-04-14T21:09:11Z,86712,1486,38,"['hash functions', 'hash tables', 'objects', 'arrays', 'tutorial', 'javascript']"
dpTFcPUe2oo,Check if a property is in an object - Beau teaches JavaScript,2017-04-13T22:12:12Z,18029,368,18,"['javascript', 'property', 'object', 'in', 'hasownproperty', 'tutorial']"
uqUYNqZx0qY,"Strict Mode — ""use strict"" - Beau teaches JavaScript",2017-04-12T16:15:02Z,45661,1033,12,"['use strict', 'strict', 'tutorial', 'code', 'beginner']"
